Detalle Orden, Numero Orden, Producto ID, Linea Total, Cantidad, Descuento, Precio Unitario, Ganancia
142,CA-2017-106180,501,8.82,3,0,2.94,2.3814
143,CA-2017-106180,892,10.86,3,0,3.62,5.1042
144,CA-2017-106180,1260,143.7,3,0,47.9,68.976
145,CA-2017-155376,397,839.43,3,0,279.81,218.2518
146,CA-2015-110744,1399,671.93,7,0,95.99,20.1579
147,CA-2014-110072,157,93.888,4,0.2,29.34,12.9096
148,CA-2016-114489,1689,384.45,11,0,34.95,103.8015
149,CA-2016-114489,1724,149.97,3,0,49.99,5.9988
150,CA-2016-114489,56,1951.84,8,0,243.98,585.552
151,CA-2016-114489,746,171.55,5,0,34.31,80.6285
152,CA-2016-158834,385,157.92,5,0.2,39.48,17.766
153,CA-2016-158834,1716,203.184,2,0.2,126.99,15.2388
154,CA-2015-124919,1142,58.38,7,0,8.34,26.271
155,CA-2015-124919,1163,105.52,4,0,26.38,48.5392
156,CA-2015-124919,1351,80.88,6,0,13.48,21.0288
157,CA-2015-118948,523,6.63,3,0,2.21,1.7901
158,CA-2014-104269,119,457.568,2,0.2,285.98,51.4764
159,CA-2016-114104,980,14.62,2,0,7.31,6.8714
160,CA-2016-114104,1845,944.93,7,0,134.99,236.2325
161,CA-2016-162733,1187,5.98,1,0,5.98,2.691
162,CA-2015-119697,1568,54.384,2,0.2,33.99,1.3596
163,CA-2016-154508,866,28.4,5,0,5.68,13.348
164,CA-2016-113817,802,27.68,2,0.2,17.3,9.688
165,CA-2014-139892,619,9.936,3,0.2,4.14,2.7324
166,CA-2014-139892,1625,8159.952,8,0.4,1699.99,-1359.992
167,CA-2014-139892,1326,275.928,3,0.2,114.97,-58.6347
168,CA-2014-139892,122,1740.06,9,0.3,276.2,-24.858
169,CA-2014-139892,557,32.064,6,0.2,6.68,6.8136
170,CA-2014-139892,429,177.98,5,0.8,177.98,-453.849
171,CA-2014-139892,1824,143.976,3,0.2,59.99,8.9985
172,CA-2014-118962,1065,20.94,3,0,6.98,9.8418
173,CA-2014-118962,1086,110.96,2,0,55.48,53.2608
174,CA-2014-118962,112,340.144,7,0.2,60.74,21.259
175,US-2014-100853,394,52.448,2,0.8,131.12,-131.12
176,US-2014-100853,986,20.16,4,0.2,6.3,6.552
177,US-2017-152366,434,97.264,4,0.8,121.58,-243.16
178,US-2015-101511,129,396.802,7,0.3,80.98,-11.3372
179,US-2015-101511,1436,15.88,5,0.2,3.97,-3.7715
180,CA-2015-137225,536,3.28,1,0,3.28,1.4104
181,CA-2014-166191,1393,24.816,2,0.2,15.51,1.8612
182,CA-2014-166191,1590,408.744,7,0.2,72.99,76.6395
183,CA-2014-158274,1805,503.96,4,0,125.99,131.0296
184,CA-2014-158274,1855,149.95,5,0,29.99,41.986
185,CA-2014-158274,1528,29,2,0,14.5,7.25
186,CA-2016-105018,715,7.16,2,0,3.58,3.4368
187,CA-2014-123260,1525,176.8,8,0,22.1,22.984
188,CA-2016-157000,1337,37.224,3,0.2,15.51,3.7224
189,CA-2016-157000,1142,20.016,3,0.2,8.34,6.255
190,CA-2015-102281,23,899.136,4,0.2,280.98,112.392
191,CA-2015-102281,1731,71.76,6,0,11.96,20.0928
192,CA-2015-102281,1018,51.84,8,0,6.48,24.8832
193,CA-2015-102281,21,626.352,3,0.2,260.98,46.9764
194,CA-2015-102281,586,19.9,5,0,3.98,6.567
195,CA-2015-131457,861,14.28,7,0,2.04,6.7116
196,CA-2014-140004,626,7.408,2,0.2,4.63,1.2038
197,CA-2014-140004,610,6.048,3,0.2,2.52,1.5876
198,CA-2017-107720,1339,46.26,3,0,15.42,12.0276
199,US-2017-124303,654,2.946,2,0.7,4.91,-2.2586
200,US-2017-124303,1186,16.056,3,0.2,6.69,5.8203
201,CA-2017-105074,1181,21.744,3,0.2,9.06,6.795
202,CA-2014-133690,368,218.75,2,0.5,218.75,-161.875
203,CA-2014-133690,451,2.6,1,0.2,3.25,0.2925
204,US-2017-116701,445,66.284,2,0.8,165.71,-178.9668
205,CA-2017-126382,243,35.168,7,0.2,6.28,9.6712
206,CA-2017-108329,1747,444.768,4,0.2,138.99,44.4768
207,CA-2017-135860,1311,83.92,4,0,20.98,5.8744
208,CA-2017-135860,1738,131.98,2,0,65.99,35.6346
209,CA-2017-135860,767,15.92,4,0,3.98,7.4824
210,CA-2017-135860,903,52.29,9,0,5.81,16.2099
211,CA-2017-135860,1347,91.99,1,0,91.99,3.6796
212,CA-2015-101007,1491,20.8,2,0.2,13,6.5
213,CA-2015-146262,1008,23.68,2,0.2,14.8,8.88
214,CA-2015-146262,47,452.45,5,0.5,180.98,-244.323
215,CA-2015-146262,1792,62.982,3,0.4,34.99,-14.6958
216,CA-2015-146262,1626,1188,9,0.7,440,-950.4
217,CA-2015-146262,1461,89.584,2,0.2,55.99,4.4792
218,CA-2016-130162,1337,93.06,6,0,15.51,26.0568
219,CA-2016-130162,1777,302.376,3,0.2,125.99,22.6782
220,CA-2015-169397,907,5.584,2,0.2,3.49,1.8148
221,CA-2015-169397,1244,22.704,6,0.2,4.73,8.2302
222,CA-2015-169397,753,19.776,4,0.7,16.48,-13.8432
223,CA-2015-169397,141,72.704,4,0.2,22.72,19.0848
224,CA-2015-169397,1633,479.988,4,0.7,399.99,-383.9904
225,CA-2015-169397,540,27.168,2,0.2,16.98,2.7168
226,CA-2015-163055,503,2.2,1,0,2.2,0.968
227,CA-2015-163055,359,622.45,5,0,124.49,136.939
228,CA-2015-163055,1372,21.98,1,0,21.98,0.2198
229,US-2015-145436,132,161.568,2,0.2,100.98,-28.2744
230,US-2015-145436,124,389.696,8,0.2,60.89,43.8408
231,US-2014-156216,707,18.648,7,0.7,8.88,-12.432
232,US-2017-100930,332,233.86,2,0.45,212.6,-102.048
233,US-2017-100930,356,620.6145,3,0.45,376.13,-248.2458
234,US-2017-100930,707,5.328,2,0.7,8.88,-3.552
235,US-2017-100930,285,258.072,3,0.2,107.53,0
236,US-2017-100930,1570,617.976,3,0.2,257.49,-7.7247
237,CA-2017-160514,1172,10.56,2,0,5.28,4.752
238,CA-2016-157749,1215,25.92,5,0.2,6.48,9.396
239,CA-2016-157749,159,419.68,5,0.6,209.84,-356.728
240,CA-2016-157749,298,11.688,3,0.6,9.74,-4.6752
241,CA-2016-157749,1680,31.984,2,0.2,19.99,11.1944
242,CA-2016-157749,345,177.225,5,0.5,70.89,-120.513
243,CA-2016-157749,227,4.044,3,0.6,3.37,-2.8308
244,CA-2016-157749,626,7.408,2,0.2,4.63,1.2038
245,CA-2014-131926,119,2001.86,7,0,285.98,580.5394
246,CA-2014-131926,1363,166.72,2,0,83.36,41.68
247,CA-2014-131926,1250,47.88,6,0,7.98,23.94
248,CA-2014-131926,440,1503.25,5,0,300.65,496.0725
249,CA-2014-131926,1018,25.92,4,0,6.48,12.4416
250,CA-2016-154739,100,321.568,2,0.2,200.98,28.1372
251,CA-2016-145625,1272,7.61,1,0,7.61,3.5767
252,CA-2016-145625,1570,3347.37,13,0,257.49,636.0003
253,CA-2016-146941,1332,80.58,6,0,13.43,22.5624
254,CA-2016-146941,885,361.92,4,0,90.48,162.864
255,US-2015-159982,227,12.132,9,0.6,3.37,-8.4924
256,US-2015-159982,1416,82.368,2,0.2,51.48,-19.5624
257,US-2015-159982,1351,53.92,5,0.2,13.48,4.044
258,US-2015-159982,1734,647.904,6,0.2,134.98,56.6916
259,CA-2017-163139,1465,20.37,3,0,6.79,6.9258
260,CA-2017-163139,1381,221.55,3,0,73.85,6.6465
261,CA-2017-163139,775,17.52,5,0.2,4.38,6.132
262,US-2017-155299,419,1.624,2,0.8,4.06,-4.466
263,US-2014-106992,1625,3059.982,3,0.4,1699.99,-509.997
264,US-2014-106992,1660,2519.958,7,0.4,599.99,-251.9958
265,CA-2016-125318,1723,328.224,4,0.2,102.57,28.7196
266,CA-2015-155040,1583,79.9,2,0,39.95,35.156
267,CA-2017-136826,589,14.016,3,0.2,5.84,4.7304
268,CA-2016-111010,935,7.56,6,0,1.26,0.3024
269,US-2017-145366,1408,37.208,1,0.2,46.51,-7.4416
270,US-2017-145366,895,57.576,3,0.2,23.99,21.591
271,CA-2017-163979,1386,725.84,4,0,181.46,210.4936
272,CA-2015-155334,1567,209.93,7,0,29.99,92.3692
273,CA-2015-155334,254,5.28,3,0,1.76,2.3232
274,CA-2015-155334,742,10.92,3,0.2,4.55,4.095
275,CA-2017-118136,1179,8.82,2,0,4.41,4.0572
276,CA-2017-118136,518,5.98,1,0,5.98,1.5548
277,CA-2017-132976,1066,11.648,2,0.2,7.28,4.0768
278,CA-2017-132976,1268,18.176,4,0.2,5.68,5.9072
279,CA-2017-132976,1320,59.712,6,0.2,12.44,5.9712
280,CA-2017-132976,973,24.84,3,0.2,10.35,8.694
281,US-2015-161991,844,2.08,5,0.8,2.08,-3.432
282,US-2015-161991,1740,1114.4,7,0.2,199,376.11
283,CA-2015-130890,350,1038.84,5,0.2,259.71,51.942
284,CA-2015-130883,1049,141.76,5,0.2,35.44,47.844
285,CA-2015-130883,1512,239.8,5,0.2,59.95,47.96
286,CA-2015-130883,1252,31.104,6,0.2,6.48,10.8864
287,CA-2016-112697,666,254.058,7,0.7,120.98,-169.372
288,CA-2016-112697,434,194.528,2,0.2,121.58,24.316
289,CA-2016-112697,1425,961.48,5,0.2,240.37,-204.3145
290,CA-2016-110772,929,19.096,7,0.2,3.41,6.6836
291,CA-2016-110772,1012,18.496,8,0.2,2.89,6.2424
292,CA-2016-110772,1515,255.984,2,0.2,159.99,54.3966
293,CA-2016-110772,48,86.97,3,0.5,57.98,-48.7032
294,CA-2014-111451,291,300.416,8,0.2,46.94,78.8592
295,CA-2014-111451,78,230.352,3,0.2,95.98,20.1558
296,CA-2014-111451,241,218.352,3,0.2,90.98,-24.5646
297,CA-2014-111451,830,78.6,5,0.7,52.4,-62.88
298,CA-2014-111451,942,27.552,3,0.2,11.48,9.2988
299,CA-2016-142545,1152,32.4,5,0,6.48,15.552
300,CA-2016-142545,1380,1082.48,8,0,135.31,10.8248
301,CA-2016-142545,1256,56.91,3,0,18.97,27.3168
302,CA-2016-142545,198,77.6,4,0,19.4,38.024
303,CA-2016-142545,745,14.28,1,0,14.28,6.5688
304,US-2017-152380,344,219.075,3,0.5,146.05,-131.445
305,CA-2015-144253,233,26.8,2,0,13.4,12.864
306,CA-2014-130960,591,9.84,3,0,3.28,2.8536
307,CA-2014-111003,677,45.48,3,0,15.16,20.9208
308,CA-2014-111003,545,289.2,6,0,48.2,83.868
309,CA-2017-126774,561,4.89,1,0,4.89,2.0049
310,CA-2016-142902,202,15.136,4,0.2,4.73,3.5948
311,CA-2016-142902,120,466.768,2,0.2,291.73,52.5114
312,CA-2016-142902,195,15.232,1,0.2,19.04,1.7136
313,CA-2016-142902,956,6.264,3,0.2,2.61,2.0358
314,CA-2014-120887,189,87.54,3,0,29.18,37.6422
315,CA-2014-167850,1768,178.384,2,0.2,111.49,22.298
316,CA-2014-167850,1140,15.552,3,0.2,6.48,5.4432
317,CA-2014-164259,578,99.136,4,0.2,30.98,8.6744
318,CA-2014-164973,93,135.882,1,0.1,150.98,24.1568
319,CA-2014-164973,1648,3991.98,2,0,1995.99,1995.99
320,CA-2014-164973,1831,275.94,6,0,45.99,80.0226
321,CA-2014-164973,1480,360,4,0,90,129.6
322,CA-2014-164973,1383,43.57,1,0,43.57,13.071
323,CA-2014-156601,910,7.16,2,0,3.58,3.58
324,CA-2016-162138,830,251.52,6,0.2,52.4,81.744
325,CA-2016-162138,1511,99.99,1,0,99.99,34.9965
326,CA-2017-153339,206,15.992,1,0.2,19.99,0.9995
327,US-2016-141544,1817,290.898,3,0.4,161.61,-67.8762
328,US-2016-141544,1313,54.224,2,0.2,33.89,3.389
329,US-2016-141544,104,786.744,4,0.3,280.98,-258.5016
330,US-2016-141544,959,100.24,10,0.2,12.53,33.831
331,US-2016-141544,695,37.764,6,0.7,20.98,-27.6936
332,US-2016-150147,1848,82.8,2,0.4,69,-20.7
333,US-2016-150147,685,20.724,2,0.7,34.54,-13.816
334,US-2016-150147,718,4.896,3,0.7,5.44,-3.4272
335,CA-2015-137946,717,4.752,1,0.2,5.94,1.6038
336,CA-2015-137946,1605,959.984,2,0.2,599.99,335.9944
337,CA-2015-137946,808,14.368,4,0.2,4.49,4.49
338,CA-2014-129924,770,7.712,2,0.2,4.82,2.7956
339,CA-2014-129924,371,698.352,3,0.2,290.98,-17.4588
340,CA-2015-128167,906,4.96,4,0,1.24,2.3312
341,CA-2014-122336,475,17.856,4,0.2,5.58,1.116
342,CA-2014-122336,782,509.97,10,0.7,169.99,-407.976
343,CA-2014-122336,926,30.992,13,0.2,2.98,10.0724
344,CA-2014-122336,1705,71.928,12,0.4,9.99,8.3916
345,US-2015-120712,1295,88.8,4,0.2,27.75,-2.22
346,CA-2017-169901,1763,47.976,3,0.2,19.99,4.7976
347,CA-2017-134306,610,7.56,3,0,2.52,3.0996
348,CA-2017-134306,1035,24.56,2,0,12.28,11.5432
349,CA-2017-134306,516,12.96,2,0,6.48,4.1472
350,CA-2016-129714,1465,6.79,1,0,6.79,2.3086
351,CA-2016-129714,1145,24.56,2,0,12.28,11.5432
352,CA-2016-129714,729,3.048,1,0.2,3.81,1.0668
353,CA-2016-129714,1145,49.12,4,0,12.28,23.0864
354,CA-2016-129714,846,4355.168,4,0.2,1360.99,1415.4296
355,CA-2016-138520,20,388.704,6,0.2,80.98,-4.8588
356,CA-2016-138520,854,8.26,2,0,4.13,3.7996
357,CA-2016-138520,553,17.04,4,0,4.26,6.9864
358,CA-2016-138520,1184,34.4,5,0,6.88,15.824
359,CA-2016-130001,1181,36.24,5,0.2,9.06,11.325
360,CA-2017-155698,398,647.84,8,0,80.98,168.4384
361,CA-2017-155698,960,20.7,2,0,10.35,9.936
362,CA-2017-144904,960,20.7,2,0,10.35,9.936
363,CA-2017-144904,62,488.646,3,0.1,180.98,86.8704
364,CA-2017-144904,595,5.56,2,0,2.78,1.4456
365,CA-2017-144904,138,47.12,8,0,5.89,20.7328
366,CA-2014-123344,1353,211.96,4,0,52.99,8.4784
367,CA-2016-155516,736,23.2,4,0,5.8,10.44
368,CA-2016-155516,1432,7.36,2,0,3.68,0.1472
369,CA-2016-155516,1370,104.79,7,0,14.97,29.3412
370,CA-2016-155516,21,1043.92,4,0,260.98,271.4192
371,CA-2017-104745,1151,25.92,5,0.2,6.48,9.396
372,CA-2017-104745,1361,53.424,3,0.2,22.26,4.6746
373,US-2014-119137,718,8.16,5,0.7,5.44,-5.712
374,US-2014-119137,1572,1023.936,8,0.2,159.99,179.1888
375,US-2014-119137,493,9.24,1,0.2,11.55,0.924
376,US-2014-119137,1519,479.04,10,0.2,59.88,-29.94
377,US-2016-134656,1201,99.136,4,0.2,30.98,30.98
378,US-2017-134481,375,1488.424,7,0.3,303.76,-297.6848
379,CA-2015-130792,391,8.652,3,0.8,14.42,-20.3322
380,CA-2015-130792,1391,23.832,3,0.2,9.93,2.6811
381,CA-2015-130792,651,12.176,4,0.8,15.22,-18.8728
382,CA-2016-134775,1279,50.96,7,0,7.28,25.48
383,CA-2016-134775,732,49.536,3,0.2,20.64,17.3376
384,CA-2015-125395,1592,41.9,2,0,20.95,8.799
385,US-2015-168935,321,375.4575,3,0.45,227.55,-157.0095
386,US-2015-168935,1527,83.976,3,0.2,34.99,-1.0497
387,CA-2015-122756,1635,482.34,4,0.7,401.95,-337.638
388,CA-2015-122756,204,2.96,1,0.2,3.7,0.777
389,CA-2014-115973,630,2.624,1,0.2,3.28,0.4264
390,CA-2017-101798,639,23.36,4,0.2,7.3,7.884
391,CA-2017-101798,1514,39.98,2,0,19.99,13.5932
392,US-2014-135972,1797,246.384,2,0.2,153.99,27.7182
393,US-2014-135972,1610,1799.97,3,0,599.99,701.9883
394,US-2014-134971,799,12.462,3,0.8,20.77,-20.5623
395,CA-2017-102946,825,75.792,3,0.2,31.58,25.5798
396,CA-2017-165603,1319,49.96,2,0,24.98,9.4924
397,CA-2017-165603,1174,12.96,2,0,6.48,6.2208
398,CA-2015-122259,1442,70.12,4,0,17.53,21.036
399,CA-2016-108987,1350,35.952,3,0.2,14.98,3.5952
400,CA-2016-108987,49,2396.2656,4,0.32,880.98,-317.1528
401,CA-2016-108987,1324,131.136,4,0.2,40.98,-32.784
402,CA-2016-108987,1462,57.584,2,0.2,35.99,0.7198
403,CA-2014-113166,1141,9.568,2,0.2,5.98,3.4684
404,CA-2014-155208,583,39.072,6,0.2,8.14,9.768
405,CA-2017-117933,463,35.91,3,0,11.97,9.6957
406,CA-2017-117457,1462,179.95,5,0,35.99,37.7895
407,CA-2017-117457,1613,1199.976,3,0.2,499.99,434.9913
408,CA-2017-117457,1229,27.15,5,0,5.43,13.3035
409,CA-2017-117457,340,1004.024,7,0.2,179.29,-112.9527
410,CA-2017-117457,1191,9.68,1,0,9.68,4.6464
411,CA-2017-117457,996,28.35,9,0,3.15,13.608
412,CA-2017-117457,1145,55.98,1,0,55.98,27.4302
413,CA-2017-117457,16,1336.829,13,0.15,120.98,31.4548
414,CA-2017-117457,115,113.568,2,0.2,70.98,-18.4548
415,CA-2017-142636,1025,139.86,7,0,19.98,65.7342
416,CA-2017-142636,78,307.136,4,0.2,95.98,26.8744
417,CA-2017-122105,618,95.92,8,0,11.99,25.8984
418,CA-2016-148796,134,383.8,5,0.2,95.95,38.38
419,CA-2017-154816,1235,5.78,1,0,5.78,2.8322
420,CA-2017-110478,524,9.32,4,0,2.33,2.7028
421,CA-2017-110478,849,15.25,1,0,15.25,7.015
422,CA-2014-142048,1574,196.752,6,0.2,40.99,56.5662
423,CA-2017-125388,308,56.56,4,0,14.14,14.7056
424,CA-2017-125388,1323,32.7,3,0,10.9,8.502
425,CA-2017-155705,50,866.4,4,0,216.6,225.264
426,CA-2017-149160,255,28.4,2,0,14.2,11.076
427,CA-2017-149160,697,287.92,8,0,35.99,138.2016
428,CA-2014-101476,1617,69.99,1,0,69.99,30.0957
429,CA-2017-152275,481,6.672,6,0.2,1.39,0.5004
430,US-2016-123750,829,189.588,2,0.7,315.98,-145.3508
431,US-2016-123750,1590,408.744,7,0.2,72.99,76.6395
432,US-2016-123750,1590,291.96,5,0.2,72.99,54.7425
433,US-2016-123750,1309,4.768,2,0.2,2.98,-0.7748
434,CA-2016-127369,1389,714.3,5,0,142.86,207.147
435,US-2014-150574,665,4.812,2,0.7,8.02,-3.6892
436,US-2014-150574,1537,247.8,5,0.2,61.95,-18.585
437,CA-2016-147375,1650,1007.979,3,0.3,479.99,43.1991
438,CA-2016-147375,1145,313.488,7,0.2,55.98,113.6394
439,CA-2017-130043,1159,31.872,8,0.2,4.98,11.5536
440,CA-2017-157252,106,207.846,3,0.1,76.98,2.3094
441,CA-2016-115756,147,12.22,1,0,12.22,3.666
442,CA-2016-115756,1293,194.94,3,0,64.98,23.3928
443,CA-2016-115756,1384,70.95,3,0,23.65,20.5755
