Producto ID;Numero Producto;Producto Sub Categoria ID;Nombre Producto
107;RIL81;A4;Ham- air dried- sold loose
108;TIN05317;A2;Ham- from the thigh- cooked and smoked- sold loose
109;NOM10;A16;Ham- pressed- sold loose
110;RAX9;A6;Ham- pressed- WKB
111;MIY3928;A6;Ham- turkey- WKB
112;VEM4;A12;Salami- sold loose
113;SUH;A13;Salami- WKB
114;KOG843;A1;Grilled/roasted chicken
115;VUG79;A9;Pork liver pâté- tinned- WKB
116;LIW;A25;Luncheon meat- WKB
117;REQ7034;A5;Chicken nuggets/dippers- frozen- WKB
118;LIC99376;A2;Precooked meat balls- WKB
119;VEP605;A1;Carp (Cyprinus carpio)
120;MIS08;A1;Cod (Gadus morhua)- fillet
121;XUY05;A18;Mackerel (Scomber scombrus)
122;SOQ80;A1;Plaice (Pleuronectes platessa)- fillet
123;MUH9;A17;Rainbow-Trout (Salmo gairdneri)
124;HEC5324;A18;Salmon (Atlantic salmon - Salmo salar)- fillet
125;BEZ3;A14;Salmon- steak (Atlantic salmon - Salmo salar)
126;KOK51;A8;Sardines (Sardina pilchardus)
127;DEX0;A14;Sea bass (Labrax lupus)
128;BAR3;A14;Cod (Cyprinus carpio)- frozen
129;FAJ4;A13;Hake (Merluccius merluccius)- Alaska Pollock (Theragra chalcogramma)- fillet- frozen- WKB
130;MEB25;A11;Pangasius catfish (Pangasius hypophthalmus)- fillet- frozen- WKB
131;RAB7821;A8;Pangasius catfish (Pangasius hypophthalmus)- fillet- frozen- BL
132;COX066;A9;Mussels (Moule mytilidae)
133;LIB4660;A16;Squid (Loligo vulgaris)
134;XER89430;A6;Normal shrimp (Crangon crangon)
135;JON8531;A8;Calamari- WKB
136;YIQ26;A3;Scallops (Pecten maximus)- WKB
137;HAX89288;A3;"Sea fruits (""Frutti di mare"")- WKB"
138;BAF07426;A3;Shrimps (Pandalus borealis)- WKB
139;LUD145;A3;Smoked salmon- WKB
140;YOD104;A3;Herring fillets in jar- WKB
141;QIL;A3;Tinned sardines- in vegetable oil- WKB
142;ZUR7474;A3;Tinned sardines- in olive oil- with skin and bones- WKB
143;DOP3429;A3;Tinned sardines- in vegetable oil- BL
144;GIP;A25;Tinned mackerel fillet- in tomato sauce or vegetable oil- WKB
145;BIL;A6;Tinned pink tuna (Skipjack- Thunnus Thynn- Albacares = yellow fin)- WKB
146;JAL9;A14;Tinned tuna flakes- in vegetable oil- BL
147;RIM84;A14;Breaded fish filet (Pollock)- 2 - 4 pieces- frozen- WKB
148;JUD66639;A13;Breaded fish filet (Cod)- 2 - 5 pieces- frozen- WKB
149;KIT90210;A13;Fish fingers- from fillet- WKB
150;PUN70;A5;Fish fingers- BL
151;RAC411;A11;Fish cakes- WKB
152;RIZ;A3;"Seafood sticks- ""surimi""- WKB"
153;ZAL;A7;Milk- fresh- unskimmed
154;GEF584;154;Milk- UHT- unskimmed- WKB
155;KOY340;A13;Milk- fresh- semi-skimmed- organic- WKB
156;XUV0365;A19;Milk- fresh- semi-skimmed- WKB
157;FUV7100;A3;Milk- fresh- semi-skimmed- BL
158;DAT35302;A16;Milk- UHT- semi-skimmed- WKB
159;FAR507;A19;Milk- UHT- semi-skimmed- BL
160;RIR;A1;Milk- fresh- skimmed- WKB
161;DOB26137;A5;Milk- evaporated- WKB
162;HAH6826;A16;Coffee creamer- liquid- WKB
163;JOJ79;A3;Milk- powdered- for babies- WKB
164;YEB6796;A21;Infant formula- WKB
165;FIC;A1;Natural yoghurt- small pack- WKB
166;JAT;A17;Natural yoghurt- large pack- WKB
167;RIB0093;A9;Natural yoghurt- BL
168;TOW3833;A1;Yoghurt- multipack- SB
169;JUC1;A1;Fruit yoghurt- WKB
170;NIQ6;A21;Fruit yoghurt- low fat- small pack- WKB
171;YOH4;A21;Fruit yoghurt- low fat- large pack- WKB
172;DUL86498;A11;Fruit flavoured yoghurt- multipack- WKB
173;HOM;A8;Yoghurt drink- multipack- SB
174;XOH266;A6;Sour cream / crème epaisse / smetana- WKB
175;NAY1;A4;Sour cream / crème epaisse légère / smetana- low fat- WKB
176;XIP110;A23;Sour cream / crème epaisse légère / smetana- low fat- BL
177;BET9747;A19;Cream for whipping- WKB
178;WUG40;A29;Whipped cream in container- WKB
179;ROZ555;A5;Curd- WKB
180;BAB;A15;Cream cheese- SB
181;RUB9570;A4;Cream cheese- WKB
182;SIR42579;A6;Cheese- processed- sliced- WKB
183;VOX212;A6;Cheese- processed- spreadable- WKB
184;RIZ64;A6;Cheese- original Brie- industrially packed- WKB
185;BES3845;A6;Cheese- Camembert type- WKB
186;XEM760;A13;Cheese- Edam type- young- WKB
187;RID76241;A13;Cheese- Edam type- young- BL
188;QEW5;A4;Cheese- Emmental type- WKB
189;LIH234;A7;Cheese- original Feta- WKB
190;LAY3;A19;Cheese- Feta type- WKB
191;LUH944;A13;Cheese- Gouda type- sold loose- WKB
192;GAC;A21;Cheese- Gouda type- WKB
193;NUV8;A1;Cheese- Mozzarella- WKB
194;POB69571;A10;Cheese- Parmesan type- dehydrated & grated- WKB
195;BIH23;A6;Cheese- blue- WKB
196;GEL3176;A5;Gratin cheese- grated- WKB
197;WEQ27;A14;Chicken eggs- caged hen- large size
198;TIL58;A16;Chicken eggs- caged hen- medium size
199;MUS4;A14;Chicken eggs- barn hen (élevées au sol- Bodenhaltung)
200;LIG;A17;Chicken eggs- free range
201;YAR7;A7;Chicken eggs- organic
202;RAN47;A16;Butter- unsalted- small pack- WKB 
203;VAF04;A16;Butter- unsalted- larger pack- WKB
204;GAM16;A12;Butter- salted
205;BEX5679;A20;Margarine- for spreading and cooking- WKB
206;QIV;A20;Margarine- for spreading and cooking- BL
207;FUV05;A22;Margarine- low fat- for spreading- WKB
208;ZUG;A18;Margarine- for cooking- WKB
209;CIT70147;A5;Margarine- SB
210;LOQ39;A1;Olive oil- Extra Vergine- 1st cold pressing- WKB
211;LIX4;A3;Olive oil- WKB
212;CEH4067;A13;Corn / maize oil- WKB
213;ZUN3124;A16;Sunflower oil- WKB
214;NIY7;A8;Sunflower oil- BL
215;DOK6346;A20;Vegetable oil- for frying- WKB
216;RUD77815;A27;Peanut butter- smooth- WKB
217;QOL588;A28;Fresh apples- Golden Delicious or Granny Smith
218;MAM48099;A27;Fresh apples- Red Delicious
219;RUN;A28;Fresh apples- country typical variety
220;BUT0393;A9;Fresh bananas
221;GOK399;A1;Fresh oranges
222;JEJ84;A11;Fresh grapefruit
223;TIY1791;A1;Fresh mandarines
224;DAW2569;A2;Fresh lemons
225;FEF;A1;Fresh limes
226;NEP61906;A14;Fresh grapes- white
227;QEJ32;A14;Fresh pears
228;MOX;A14;Fresh watermelon
229;PAG55104;A13;Fresh peaches
230;HEF;A9;Fresh kiwis
231;MUZ88;A17;Fresh cherries
232;TAX;A24;Fresh strawberries
233;PIT682;A24;Fresh pineapples
234;HAJ682;A26;Frozen berries- WKB
235;DAN047;A17;Dried almonds- peeled- WKB
236;HIL;A18;Dried hazelnuts- WKB
237;SET91;A2;Dried walnuts- WKB
238;YOG6;A1;Dried pistachios- WKB
239;VAP2028;A10;Dried peanuts- WKB
240;POC4;A14;Raisins- WKB
241;XEJ40203;A14;Raisins- BL
242;QUM621;A12;Dried dates- WKB
243;NUR42;A20;Dried prunes- WKB
244;MUV7958;A13;Tinned peaches- in syrup- WKB
245;DOR6588;A23;Tinned peaches- in syrup- BL
246;HAL44;A23;Tinned pineapple- whole slices in own juice- WKB
247;QOT070;A19;Tinned pineapple- whole slices in syrup- smaller tin- BL
248;WIF;A1;Tinned pineapple- whole slices in syrup- bigger tin- BL
249;RUM1335;A20;Fresh aubergines (eggplants)
250;NIJ1;A18;Fresh broccoli
251;ZOJ74;A16;Fresh cabbage lettuce- round- soft leaves
252;DUW20539;A9;Fresh carrots
253;VUJ4306;A19;Fresh cauliflower
254;LOD;A13;Fresh courgettes
255;DAX;A13;Fresh cucumber
256;JAQ343;A13;Fresh cultivated mushrooms- white- whole
257;DUC89126;A11;Fresh green beans
258;YET2;A6;Fresh green pepper
259;DEV;A16;Fresh leek
260;CUY60;A19;Fresh lettuce- iceberg
261;XUC;A23;Fresh mixed salad or iceberg lettuce- in bag
262;BUZ34;A16;Fresh spinach
263;FEM262;A2;Fresh tomatoes- round
264;NIY3;A16;Fresh tomato cluster
265;GOF8;A1;Fresh cherry tomatoes
266;MEP530;A9;Fresh white cabbage
267;FUW2798;A9;Fresh yellow onions
268;JEB;A3;Garlic
269;XIT641;269;Olives- black
270;37865;270;Fresh potatoes- sold loose
271;VEC28;271;Fresh potatoes- industrially packed
272;BOW128;272;"Fresh potatoes- labeled ""new"""
273;BES;273;Frozen French fries- WKB
274;XUB2;274;Frozen green beans- fine- WKB
275;WIT;275;Frozen mixed vegetables- natural- WKB
276;XUK7;276;Frozen mixed vegetables- natural- BL
277;REN864;277;Frozen peas- small/fine- SB
278;RIG042;278;Frozen spinach- natural- WKB
279;MIR4735;279;Tinned green beans- fine- WKB
280;SOP672;280;Tinned peas- very/extra fine- SB
281;ZAJ6503;281;Tinned sweet corn- BL
282;QEB25;282;Tomato puree (Passata di Pomodoro)- WKB
283;WEF134;283;Chopped tomatoes- WKB
284;HUX;284;Chopped tomatoes- BL
285;KAP8;285;Mushrooms- slices in salt water- BL
286;LUS410;286;Tinned white beans in tomato sauce- SB
287;YUS108;287;Beetroot- slices in vinegar- WKB
288;LAD83315;288;Green olives- without stones- WKB
289;MUT4224;289;Pickled gherkins- WKB
290;NIS;290;Tomato paste- WKB
291;CUX62254;291;Ajvar- spread with red pepper- WKB
292;YEG47206;292;Dried white beans- BL
293;MIH257;293;Dried lentils- WKB
294;ZOS28;294;Salted crisps- SB
295;QEW320;295;Potato crisps- single pack- WKB
296;GAD05;296;White sugar- WKB
297;PIF;297;Icing sugar- WKB
298;LAM;298;Sugar lumps- WKB
299;CAT53;299;Sweetener- tablets- SB
300;CSE;662;Sweetener- tablets- WKB
301;CCGE;6;Honey- mixed blossoms- WKB
302;GESG;995;Honey- mixed blossoms- BL
303;01.1.1;11.01.11.1;Jam- apricot or strawberry- WKB
3019;01.1.1;11.01.11.1;Jam- apricot or strawberry- BL
3020;01.1.1;11.01.11.1;Orange marmalade- WKB
3021;01.1.1;11.01.11.1;Chocolate- dark- plain- SB
3022;01.1.1;11.01.11.1;Chocolate- milk- WKB
3023;01.1.1;11.01.11.1;Milk chocolate bars- SB
304;01.1.1;11.01.11.2;Chocolate bar- individually sold- SB
305;01.1.1;11.01.11.2;Chocolate bar- with almonds and honey- SB
306;01.1.1;11.01.11.2;Chocolate bar- multipack- SB
307;01.1.1;11.01.11.2;Mint chocolate- SB
308;01.1.1;11.01.11.2;Assorted chocolates- SB
309;01.1.1;11.01.11.2;Chocolate egg-  SB
310;01.1.1;11.01.11.2;Mints- SB
311;01.1.1;11.01.11.2;"Caramel sweets- ""Toffees""- WKB"
312;01.1.1;11.01.11.2;Pick & Mix sweets- sold loose
313;01.1.1;11.01.11.2;Fruit drops- WKB
314;01.1.1;11.01.11.2;Jellies- SB
315;01.1.1;11.01.11.2;Chewy candies- toffees- WKB
316;01.1.1;11.01.11.3;Chewing gum- WKB
317;01.1.1;11.01.11.3;Chewing gum- bag- WKB
318;01.1.1;11.01.11.3;Chocolate spread- SB
319;01.1.1;11.01.11.3;Ice cream- single piece- SB
320;01.1.1;11.01.11.3;Ice cream- multipack- SB
321;01.1.1;11.01.11.3;Ice cream- Magnum type- single piece- WKB
322;01.1.1;11.01.11.3;Ice cream- Cornetto type- single piece- WKB
323;01.1.1;11.01.11.3;Ice cream- Cornetto type- multipack- WKB
324;01.1.1;11.01.11.3;Ice cream- multipack- SB
325;01.1.1;11.01.11.3;Ice cream- SB
326;01.1.1;11.01.11.3;Ice cream- 500 - 1000 ml- SB
327;01.1.1;11.01.11.3;Ice cream- 500 - 1000 ml- WKB
328;01.1.1;11.01.11.3;Ice cream- large quantity- BL
329;01.1.1;11.01.11.3;Tomato ketchup- SB
330;01.1.1;11.01.11.3;Tomato ketchup- WKB
331;01.1.1;11.01.11.3;Tomato ketchup- BL
332;01.1.1;11.01.11.3;Mayonnaise- WKB
333;01.1.1;11.01.11.3;Mustard- WKB
334;01.1.1;11.01.11.4;Soya sauce- WKB
335;01.1.1;11.01.11.4;Tomato sauce for pasta (sugo)- WKB
336;01.1.1;11.01.11.4;Mineral salt
337;01.1.1;11.01.11.4;Sea salt
338;01.1.1;11.01.11.4;Black pepper- WKB
339;01.1.1;11.01.11.4;Baby food- fruit or vegetable base- puree- WKB
340;01.1.1;11.01.11.4;Baby food- rice base (infant cereal)- WKB
341;01.1.1;11.01.11.4;Baby food- meat base- WKB
342;01.1.1;11.01.11.4;Baby food- flour base (infant cereal)- WKB
343;01.1.1;11.01.11.4;Ready-made meal- chicken and rice- WKB
344;01.1.1;11.01.11.4;Ready-made meal- lasagne Bolognese- spaghetti Bolognese or chili con carne- WKB
345;01.1.1;11.01.11.4;Triangle sandwich- WKB
346;01.1.1;11.01.11.4;Yeast- fresh
347;01.1.1;11.01.11.4;Soup in sachet- cream of mushroom- SB
348;01.1.1;11.01.11.4;Meat extract- SB
349;01.1.1;11.01.11.4;Dried mixed vegetables (Vegeta type)- with salt- WKB
350;01.1.1;11.01.11.4;Coffee- roasted- WKB
351;01.1.1;11.01.11.5;Coffee- roasted- blend- small pack- WKB
352;01.1.1;11.01.11.5;Coffee- roasted- blend- large pack- WKB
353;01.1.1;11.01.11.5;Instant coffee- SB1
354;01.1.1;11.01.11.5;Instant coffee- SB2
355;01.1.1;11.01.11.5;Instant coffee- WKB
356;01.1.1;11.01.11.5;Coffee pads- WKB
357;01.1.1;11.01.11.5;Earl grey tea- SB
358;01.1.1;11.01.11.5;Black tea- small box- WKB
359;01.1.1;11.01.11.5;Black tea- large box- WKB
360;01.1.2;11.01.12.1;Black tea- small box- BL
361;01.1.2;11.01.12.1;Green Tea- in bags- WKB
362;01.1.2;11.01.12.1;Infusion- blossoms or herbs or fruits- WKB
363;01.1.2;11.01.12.1;Cocoa- powder- WKB
364;01.1.2;11.01.12.1;Cocoa instant drink- powder- WKB
365;01.1.2;11.01.12.1;Mineral water- SB
366;01.1.2;11.01.12.1;Mineral water- carbonated- small bottle- WKB
367;01.1.2;11.01.12.1;Mineral water- carbonated- flavoured- small bottle- WKB
368;01.1.2;11.01.12.1;Mineral water- carbonated- large bottle- WKB
369;01.1.2;11.01.12.1;Mineral water- carbonated- large bottle- multipack- WKB
370;01.1.2;11.01.12.1;Mineral water- still- small bottle- WKB
371;01.1.2;11.01.12.1;Mineral water- still- large bottle- WKB
372;01.1.2;11.01.12.2;Mineral water- still- very large bottle- WKB
373;01.1.2;11.01.12.2;Spring water- still- large bottle- WKB
374;01.1.2;11.01.12.2;Spring water- still- large bottle- BL
375;01.1.2;11.01.12.2;COLA- SB1- bottle
376;01.1.2;11.01.12.2;COLA- SB1- bottle- multipack
377;01.1.2;11.01.12.2;COLA- SB1- can
378;01.1.2;11.01.12.2;COLA- SB2-  bottle
379;01.1.2;11.01.12.3;Cola- bottle- BL
380;01.1.2;11.01.12.3;Carbonated drink- orange flavoured- WKB
381;01.1.2;11.01.12.4;Energy drink- SB
382;01.1.2;11.01.12.4;Ice tea- WKB
383;01.1.2;11.01.12.4;Orange juice- WKB
384;01.1.2;11.01.12.4;Orange juice- BL
385;01.1.2;11.01.12.4;Apple juice- WKB
386;01.1.2;11.01.12.4;Apple juice- BL
387;01.1.2;11.01.12.4;Tomato juice- WKB
388;01.1.2;11.01.12.4;Concentrated juice- 1 - 2 l- WKB
389;01.1.2;11.01.12.6;Cognac- SB
390;01.1.2;11.01.12.6;Scotch whisky- SB
391;01.1.2;11.01.12.6;Irish whiskey- SB
392;01.1.2;11.01.12.6;American whiskey- SB
393;01.1.2;11.01.12.6;Vodka- WKB
394;01.1.2;11.01.12.6;Gin- SB
395;01.1.2;11.01.12.6;White Rum- SB
396;01.1.2;11.01.12.6;Tequila- SB
397;01.1.2;11.01.12.6;Liqueur- SB
398;01.1.2;11.01.12.6;Liqueur with herbs- SB
399;01.1.2;11.01.12.6;Liqueur- berry flavoured- WKB
400;01.1.2;11.01.12.6;Brandy- WKB
401;01.1.2;11.01.12.6;Fruit spirit- WKB
402;01.1.2;11.01.12.6;Rum Energy Drink
403;01.1.2;11.01.12.6;Red wine- table wine- in a bottle- BL
404;01.1.2;11.01.12.6;Red wine- regional wine- European- Cabernet Sauvignon- in a bottle- WKB
405;01.1.2;11.01.12.6;Red wine- regional wine- European- in a box- WKB
406;01.1.2;11.01.12.6;Red wine- ACO- European- Cabernet Sauvignon- WKB
407;01.1.2;11.01.12.6;Red wine- ACO- European- Merlot- WKB
408;01.1.2;11.01.12.6;Red wine- ACO- European- Syrah (Shiraz)- WKB
409;01.1.2;11.01.12.6;Red wine- ACO (DOCG)- Italy- Chianti classico- WKB
410;01.1.2;11.01.12.6;Red wine- Spain- SB
411;01.1.3;11.01.13.1;Red wine- France- Bordeaux Supérieur- WKB
412;01.1.3;11.01.13.1;Red wine- non-European- in a box- WKB
413;01.1.3;11.01.13.1;Red wine- non-European- Cabernet Sauvignon- WKB
414;01.1.3;11.01.13.1;Red wine- non-European- Merlot- WKB
415;01.1.3;11.01.13.1;Red wine- non-European- Syrah (Shiraz)- WKB
416;01.1.3;11.01.13.1;Red wine- Australia- SB
417;01.1.3;11.01.13.1;White wine- table wine- in a bottle- BL
418;01.1.3;11.01.13.1;White wine- ACO- European- Chardonnay- WKB
419;01.1.3;11.01.13.1;White wine- ACO- European- Riesling- WKB
420;01.1.3;11.01.13.1;White wine- ACO- European- Sauvignon Blanc- WKB
421;01.1.3;11.01.13.1;White wine- non-European- in a box- WKB
422;01.1.3;11.01.13.1;White wine- non-European- Chardonnay- WKB
423;01.1.3;11.01.13.1;White wine- non-European- Sauvignon Blanc- WKB
424;01.1.3;11.01.13.1;Rosé wine- ACO- European- WKB
425;01.1.3;11.01.13.1;Champagne- SB
426;01.1.3;11.01.13.1;Sparkling wine- méthode Champenoise (fermentation in the bottle)- WKB
427;01.1.3;11.01.13.1;Sparkling wine- fermentation in tank- WKB
428;01.1.3;11.01.13.1;Apple cider- WKB
429;01.1.3;11.01.13.1;Aperitif- SB
430;01.1.3;11.01.13.1;Aperitif- Vermouth- SB
431;01.1.3;11.01.13.2;Aperitif- Port wine- WKB
432;01.1.3;11.01.13.2;Beer- domestic brand- single bottle- WKB
433;01.1.3;11.01.13.2;Beer- domestic brand- 1 - 2 l bottle- WKB
434;01.1.3;11.01.13.2;Beer- domestic brand- multipack of bottles- WKB
435;01.1.3;11.01.13.2;Beer- domestic brand- bottle crate- WKB
436;01.1.3;11.01.13.2;Beer- domestic brand- single can- WKB
437;01.1.3;11.01.13.2;Beer- domestic brand- multipack of cans- WKB
438;01.1.3;11.01.13.2;Beer- SB1
439;01.1.3;11.01.13.2;Beer- SB2
440;01.1.3;11.01.13.2;Beer- SB3
441;01.1.3;11.01.13.2;Beer- SB4
442;01.1.3;11.01.13.2;Beer- multipack- SB
443;01.1.3;11.01.13.2;Beer- draught- SB
444;01.1.3;11.01.13.2;Beer- domestic brand- extra light- WKB
445;01.1.4;11.01.14.1;Beer- domestic brand- single bottle- lower alcohol- WKB
446;01.1.4;11.01.14.1;Beer- domestic brand- multipack of bottles- lower alcohol- WKB
447;01.1.4;11.01.14.1;Beer- domestic brand- single can- lower alcohol- WKB
448;01.1.4;11.01.14.1;Beer- domestic brand- multipack of cans- lower alcohol- WKB
449;01.1.4;11.01.14.1;Cigarettes- with filter- domestic brand- WKB
450;01.1.4;11.01.14.1;Cigarettes- with filter- not domestic brand- WKB
451;01.1.4;11.01.14.1;Cigarettes- with filter- SB1
452;01.1.4;11.01.14.1;Cigarettes- with filter- SB2
453;01.1.4;11.01.14.2;Cigarettes- with filter- SB3
454;01.1.4;11.01.14.2;Cigarettes- with filter- SB4
455;01.1.4;11.01.14.2;Cigarettes- with filter- SB5
456;01.1.4;11.01.14.2;Cigarettes- with filter- SB6
457;01.1.4;11.01.14.2;Cigarettes- with filter- SB7
458;01.1.4;11.01.14.2;Roll Your Own tobacco- WKB
459;01.1.4;11.01.14.2;Cotton
460;01.1.4;11.01.14.2;Viscose
461;01.1.4;11.01.14.2;Polyester
462;01.1.4;11.01.14.2;Men's overcoat- WKB-M
463;01.1.4;11.01.14.2;Men's overcoat- WKB-L
464;01.1.4;11.01.14.2;Men's parka- WKB-M
465;01.1.4;11.01.14.2;Men's parka- WKB-L
466;01.1.4;11.01.14.2;Men's coat- WKB-M
467;01.1.4;11.01.14.2;Men's polar fleece jacket- WKB-H
468;01.1.4;11.01.14.2;Men's waterproof jacket- SB
469;01.1.4;11.01.14.2;Men's jacket- new wool- WKB-H
470;01.1.4;11.01.14.2;Men's jacket- wool/synthetic- SB
471;01.1.4;11.01.14.3;Men's jacket- wool/synthetic- WKB-M
472;01.1.4;11.01.14.3;Men's jacket- casual- WKB-M
473;01.1.4;11.01.14.3;Men's outdoor leather jacket- WKB-H
474;01.1.4;11.01.14.3;Men's track jacket- SB
475;01.1.4;11.01.14.3;Men's suit- SB
476;01.1.4;11.01.14.3;Men's suit- new wool- WKB-H
477;01.1.4;11.01.14.3;Men's suit- wool- WKB-M
478;01.1.4;11.01.14.3;Men's suit- wool/mixed fibres- WKB-L
479;01.1.4;11.01.14.3;Men's tracksuit- with mesh netting- SB
480;01.1.4;11.01.14.3;Men's pyjama set- T-shirt style- BL
481;01.1.4;11.01.14.3;Men's trousers- new wool- SB
482;01.1.4;11.01.14.3;Men's trousers- wool- WKB-M
483;01.1.4;11.01.14.3;Men's trousers- mainly wool- WKB-L
484;01.1.4;11.01.14.3;Men's trousers- chinos- cotton- WKB-M
485;01.1.4;11.01.14.3;Men's trousers- cotton/polyester- WKB-L
486;01.1.4;11.01.14.3;Men's trousers- cotton- BL
487;01.1.4;11.01.14.3;Men's blue jeans- SB
488;01.1.4;11.01.14.3;Men's blue jeans- WKB-H
489;01.1.4;11.01.14.4;Men's blue jeans- WKB-M
490;01.1.4;11.01.14.4;Men's blue jeans- WKB-L
491;01.1.4;11.01.14.4;Men's blue jeans- BL
492;01.1.4;11.01.14.4;Men's cargo trousers- WKB-L
493;01.1.4;11.01.14.4;Men's bermudas- WKB-M
494;01.1.5;11.01.15.1;Men's sports shorts- SB
495;01.1.5;11.01.15.1;"Men's ""replica"" T-shirt- SB"
496;01.1.5;11.01.15.1;Men's pullover- new wool- WKB-H
497;01.1.5;11.01.15.2;Men's pullover- cotton- WKB-M
498;01.1.5;11.01.15.2;Men's sweatshirt- with hood- SB
499;01.1.5;11.01.15.2;Men's sweatshirt- with or without hood- WKB-L
